especie,familia,genero,latitude,longitude,estado,municipio,ano,mes,tipo_registro,dataset,id_gbif
Zeyheria Tuberculosa,Bignoniaceae,Zeyheria,-22.88725,-48.490417,São Paulo,Botucatu,2026,1,PRESERVED_SPECIMEN,,3414152432
Mauritia Flexuosa,Arecaceae,Mauritia,-2.704655,-42.872883,Maranhão,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938027332
Godartiana Muscosa,Nymphalidae,Godartiana,-20.522878,-41.861437,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938027564
Sarcoramphus Papa,Cathartidae,Sarcoramphus,-26.306104,-49.15554,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938027691
Tyrannus Melancholicus,Tyrannidae,Tyrannus,-15.737629,-47.864714,Distrito Federal,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938028534
Progne Chalybea,Hirundinidae,Progne,-3.948746,-38.276104,Ceará,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938028610
Eurypedus Peltoides,Chrysomelidae,Eurypedus,-29.014131,-49.444587,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938028647
Rekoa Palegon,Lycaenidae,Rekoa,-29.014141,-49.444587,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938028649
Ortilia Orthia,Nymphalidae,Ortilia,-22.068455,-45.539867,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938028654
Phyllomedusa Distincta,Phyllomedusidae,Phyllomedusa,-24.362855,-47.030405,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938029480
Machetornis Rixosa,Tyrannidae,Machetornis,-29.614026,-53.952447,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938029494
Nasua Nasua,Procyonidae,Nasua,-25.665877,-54.442293,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938029499
Falco Sparverius,Falconidae,Falco,-26.540677,-48.870016,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938029729
Oxyopes Salticus,Oxyopidae,Oxyopes,-26.012161,-48.601323,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938029812
Microgramma Squamulosa,Polypodiaceae,Microgramma,-28.046272,-49.519303,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938029900
Pitangus Sulphuratus,Tyrannidae,Pitangus,-26.935666,-48.974629,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938030044
Aratinga Leucophthalma,Psittacidae,Aratinga,-19.757292,-42.635216,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938030069
Tyrannus Melancholicus,Tyrannidae,Tyrannus,-22.815775,-47.230797,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938030259
Smeringopus Pallidus,Pholcidae,Smeringopus,-23.33511,-46.620153,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938030333
Ornidia Obesa,Syrphidae,Ornidia,-25.38717,-48.977958,Paraná,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938030898
Ectatomma Brunneum,Formicidae,Ectatomma,-21.07837,-41.509003,Espírito Santo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938030949
Troglodytes Musculus,Troglodytidae,Troglodytes,-15.737629,-47.864714,Distrito Federal,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031025
Thalasseus Sandvicensis,Laridae,Thalasseus,-22.986174,-43.68603,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031366
Lagria Villosa,Tenebrionidae,Lagria,-22.897125,-42.02763,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031495
Sporophila Lineola,Thraupidae,Sporophila,-26.447164,-49.161442,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031507
Anartia Amathea,Nymphalidae,Anartia,-29.608808,-53.956931,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031511
Columbina Squammata,Columbidae,Columbina,-19.530617,-44.125869,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031569
Boana Albomarginata,Hylidae,Boana,-24.410177,-47.830881,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031584
Hemiargus Hanno,Lycaenidae,Hemiargus,-9.747326,-35.826135,Alagoas,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031682
Turdus Leucomelas,Turdidae,Turdus,-23.185974,-46.445832,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031768
Cavia Fulgida,Caviidae,Cavia,-20.364368,-40.336379,Espírito Santo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938031963
Coereba Flaveola,Thraupidae,Coereba,-22.458767,-43.218572,Rio De Janeiro,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938032301
Hirundinea Ferruginea,Tyrannidae,Hirundinea,-26.440135,-49.167626,Santa Catarina,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938032349
Passiflora Capsularis,Passifloraceae,Passiflora,-23.208287,-46.966167,São Paulo,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938032403
Diaethria Clymena,Nymphalidae,Diaethria,-29.615207,-53.690451,Rio Grande Do Sul,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938032639
Dacnis Cayana,Thraupidae,Dacnis,-22.322885,-44.530819,Minas Gerais,,2026,1,HUMAN_OBSERVATION,iNaturalist research-grade observations,5938032658
